event_id,event_name,event_date,type,notes,location,status
rec0Si5cQ4rJRVzd6,March Meeting,2020-03-10,Meeting,,MU 215,Open
rec0akZnLLpGUloLH,Officers meeting - January,2020-01-14,Meeting,,,Open
rec0dZPcWXF0QjNnE,Spring Elections,2019-11-24,Election,All active members can vote for new officers between 4pm-8pm.,MU 215,Open
rec180D2MI4EpckHy,Officers meeting - March,2020-03-10,Meeting,,,Planning
rec2N69DMcrqN9PJC,Women's Soccer,2019-10-05,Game,Attend Women's soccer game as a group. ,Campus Soccer/Lacrosse stadium,Closed
rec2mJrCofveboaz6,April Speaker,2020-04-21,Guest Speaker,,MU 215,Planning
rec5XDvJLyxDsGZWc,Laugh Out Loud,2019-10-24,Social,Semester social event. Optional attendance.,900 E. Washington St.,Closed
recAlAwtBZ0Fqbr5K,March Speaker,2020-03-24,Guest Speaker,,MU 215,Open
recEVTik3MlqbvLFi,October Speaker,2019-10-22,Guest Speaker,,MU 215,Closed
recGxVCwaLW3mDIa3,Football game,2019-09-12,Game,Attend school football game as a group. ,Campus Football stadium,Closed
recHaMmaKyfktt5fW,February Speaker,2020-02-26,Guest Speaker,,MU 215,Open
recI43CzsZ0Q625ma,September Speaker,2019-09-24,Guest Speaker,,MU 215,Closed
recIuIXdbLe5j5vCA,Football game,2019-10-10,Game,Attend school football game as a group. ,Campus Football stadium,Closed
recJ4Witp9tpjaugn,Officers meeting - November,2019-11-05,Meeting,,,Closed
recJcyZUsdhK2ukaY,Laugh Out Loud,2020-04-23,Social,Semester social event. Optional attendance.,900 E. Washington St.,Planning
recLKj8BbTNqxFbTb,Registration,2019-09-01,Registration,Students can stop by the table to get information on the club and register.,Campus Common,Closed
recLePFQvYN36qANI,Fall Elections,2020-04-26,Election,All active members can vote for new officers between 4pm-8pm.,MU 215,Planning
recLrY8kyOR1PcZeF,Officers meeting - April,2020-04-07,Meeting,,,Planning
recMKjJbWRgSQqf4Y,Officers meeting - September,2019-09-10,Meeting,Monthly officers meeting,MU 215,Closed
recQym2V7XkIEFFnr,Women's Lacrosse,2020-03-25,Game,Attend school Woman's Lacrosse game as a group. ,Campus Soccer/Lacrosse stadium,Planning
recSdU7jGu57676tT,Habitat for Humanity,2020-03-19,Community Service,Volunteer opportunity to help paint new home.,258 S. Maple St.,Planning
recWJFyajeK4jCNYz,Officers meeting - February,2020-02-11,Meeting,,,Planning
recY3Yesu24bRK7tr,January Meeting,2020-01-14,Meeting,,MU 215,Open
recc8dizaKrSz3GmH,Officers meeting - October,2019-10-08,Meeting,,,Closed
receBpqENOUMQYsIP,Lacrosse game,2020-03-10,Game,Attend school teams Lacrosse game as a group. ,Campus Soccer/Lacrosse stadium,Planning
recerGvehRmgO0obW,February Meeting,2020-02-11,Meeting,,MU 215,Open
recggMW2eyCYceNcy,October Meeting,2019-10-08,Meeting,,MU 215,Closed
reciRZdAqNIKuMC96,November Speaker,2019-11-19,Guest Speaker,,MU 215,Closed
reckYL4xtQWpkTJ8k,Fall Budget Review,2019-09-07,Budget,Officers and Budget Committee only,Conference Room BA 452,Closed
recmbOVHSyzXQZpQr,November Meeting,2019-11-05,Meeting,,MU 215,Open
recmvq6ZguK4MVmvx,Graffiti Removal,2020-02-20,Community Service,Volunteer opportunity to remove graffiti in town.,Various locations,Open
recoVo6dFSzG1ypX7,Kid's Care,2019-09-19,Community Service,Volunteer opportunity to pack backpacks for underprivileged youth.,45 N. Smith St.,Closed
recqh5zxHuDpKUu0i,Community Theater,2020-03-12,Social,Members and alumni can attend a community theater play at a reduced price. Active membership required.,100 W. Main Street,Planning
recs4x1BYWAsU2SKg,January Speaker,2020-01-28,Guest Speaker,,MU 215,Open
recsgSUqFCJqekzL5,Food Bank,2019-11-21,Community Service,Volunteer opportunity to sort donations for distribution.,1308 106th Ave.,Closed
rectmaqcYOtnxnRiB,Yearly Wrap-up,2020-05-05,Meeting,,MU 215,Planning
rectsBOijA23838qh,Spring Budget Review,2020-01-12,Budget,Officers and Budget Committee only,Conference Room BA 452,Open
recvCUOytx5jPw7kh,Community Theater,2019-10-12,Social,Members and alumni can attend a community theater play at a reduced price. Active membership required.,100 W. Main Street,Closed
recwM7GMBSLDlb1Ix,April Meeting,2020-04-07,Meeting,,MU 215,Open
recyYo8ZxGg9oJGys,Baseball game,2020-02-15,Game,Attend school teams baseball game as a group. ,Campus Baseball Stadium,Open
recykdvf4LgsyA3wZ,Yearly Kickoff,2019-09-03,Meeting,,MU 215,Closed
reczhS8wix6Kzbp9P,September Meeting,2019-09-10,Meeting,,MU 215,Closed
